start	end	text
0	2880	でした talking
2880	7740	música
7740	12540	música
12540	16480	música
16480	23380	música
23380	28940	música
28940	35680	música
35680	41260	música
41260	46800	música
46800	51740	música
51740	56800	música
56800	61800	música
61800	66800	música
66800	71800	música
71800	76800	música
76800	81800	música
81800	86800	música
86800	91800	música
91800	96800	música
96800	101800	música
101800	106800	música
106800	114800	música
114800	119800	música
119800	124800	música
124800	131800	Bueno, buenas tardes a todos. Bienvenidos a las
131800	138800	decimoseptimas jornadas de data mining y business intelligence
138800	148800	para recordarles un poco estas jornadas son parte de actividad curricular
148800	153800	de la maestría que son justamente unas materias que llaman casuística de implementación
153800	158800	el nombre indica que esto van a ser una serie de casos
158800	166800	la idea es que los casos sean presentados por quienes los llevaron a cabo
166800	174800	proyectos de ciencia de datos realizados en las empresas o en estas zonas de empresas más importantes del país
174800	182800	entonces ustedes los alumnos, los estudiantes de la maestría van a compartir justamente
182800	190800	esta experiencia con quienes bueno tienen bastante experiencia en el campo justamente de ciencia de datos
190800	197800	bueno quiero aprovechar para agradecer a todas las empresas que nos están apoyando
197800	204800	bueno esto empezó hace como indica el número de las jornadas hace 17 años
204800	212800	y muchas de las empresas han estado repitiendo siguen colaborando con nosotros en esta tarea
212800	222800	muchos de los de las personas que van a hacer las presentaciones también son viejos conocidos
222800	228800	así que también les agradezco la paciencia de seguir con nosotros
228800	239800	bueno vamos para no perder mucho más tiempo simplemente voy a numerar un poco quiénes son los que van a participar como oyentes
239800	250800	la base nuestra son los estudiantes tenemos un conjunto de estudiantes que corresponden a una edición presencial de la maestría
250800	258800	que son primer y segundo año otro grupo de alumnos corresponden a la edición virtual de la maestría están en primer año
258800	271800	empezaron en agosto y los alumnos de Rosario bueno donde tenemos también una nueva edición que empezó hace unos meses
271800	282800	y de alumnos que están en segundo año el total de los alumnos estimo que está en un número en este momento hay pocos participantes
282800	291800	pero el número cercano a los 250 este es una materia obligatoria no tendría que estar todos pero bueno
291800	300800	tenemos excepciones como en todos los casos bueno para no desplazarnos demasiado en el tiempo ya son las 14 07
300800	310800	vamos a invitar a nuestros amigos del mercado libre para presentar el tema que tienen preparado para hoy
310800	317800	que es data mesh van a presentar Ignacio Wainberg y Gabriel Noche
317800	325800	bueno pueden comenzar cuando gusten adelante
325800	333800	bueno muchas gracias gracias a todos por asistir por darnos este espacio
333800	342800	me presento mi nombre es Ignacio Wainberg trabajo en el equipo central core de data en el mercado libre en lo que es la vertical tech
342800	351800	llevando el equipo de data engineering y hoy me acompaña Gabriel Noche también del equipo de plataformas y servicios
351800	362800	y bueno venimos a contarles un poco cómo fue esta aventura podemos llamarlo de iniciarnos en algo es muy nuevo que se llama data mesh
362800	370800	si quieren podemos ya comenzar
370800	380800	esa es otra es de personalización
400800	425800	bueno
425800	431800	bueno por qué la llamamos la talla de la tamesh vainelli
431800	438800	la tamesh es un término por eso un concepto muy nuevo
438800	449800	y si ustedes buscan en internet o literatura no hay un libro de la chica que digamos acuñó el término
449800	454800	es algo como muy conceptual casi filosófico decimos a veces nosotros
454800	461800	entonces esta no es una charla sobre data mesh sobre el concepto de data mesh en sí
461800	470800	porque podríamos hacer horas y horas de charla sobre el mismo sino que es una charla sobre nuestra interpretación
470800	473800	y nuestra implementación de data mesh en mercado libre
473800	477800	pero bueno claro que para todos aquellos que no conocen de qué se trata
477800	482800	vamos a hacer una breve intro de qué es data mesh
482800	486800	así que si pasamos a la siguiente
486800	492800	formas de describirlo pueden haber muchas pero básicamente es un paradigma
492800	499800	es un nuevo paradigma que representa un cambio tanto tecnológico como cultural
499800	508800	y la idea de este cambio de paradigma es empoderar a distintos dominios dentro de la organización
508800	514800	a que tenga el control completo de todo el ciclo de vida de los datos
514800	520800	obviamente como decimos que también es un cambio tecnológico
521800	529800	con todas las herramientas y las bases y el gobierno para que eso suceda de una manera ordenada
529800	539800	pero al fin y al cabo el objetivo de esto de data mesh es hacer que todo lo que es el trabajo con datos
539800	545800	escale al ritmo que el negocio necesita de manera orgánica
546800	556800	ahora esto suena bastante dindo pero bueno vamos a repasar un poco por qué se plantea este cambio de paradigma
556800	558800	siguiente
561800	565800	esto creo que es una imagen conocida por muchos
565800	573800	es un modelito bastante es una atracción de la realidad en la que vemos dos planos de datos
573800	579800	a la izquierda no es el plano operacional es decir donde el dato nace y se origina en las organizaciones
579800	583800	que pueden llegar a hacer todos esos sistemas transaccionales
583800	593800	y a la derecha vemos el plano analítico donde en general los científicos de datos, los analítas y demás
593800	599800	hacen su trabajo con esos productos de datos que ya están disponibles ya se hacen un data warehouse en un data lake
599800	609800	¿Qué sucede en el medio? Necesitamos llevar esos datos del plano operacional modelarlos y disponibilizarlos
609800	616800	para ser explotados de la mejor forma posible a este otro plano analítico
616800	624800	entonces del lado izquierdo del plano operacional digamos a través de los años también fueron evolucionando
624800	628800	y cambiando los paradigmas de lo que son las sistemas y las aplicaciones
628800	635800	y muchos de ellos fueron haciendo un cambio de sistemas monolíticos a por ejemplo microservicios
635800	641800	en los que hoy en día son manejados por distintos dominios de la organización
641800	647800	por ejemplo les hablamos del mercado libre, hay aplicaciones que son del marketplace
647800	649800	que es lo que todos conocemos como mercado libre
650800	655800	pero también nosotros pensamos en el mercado libre como una empresa pero dentro de esa empresa hay muchas empresas
655800	659800	la parte del marketplace, la parte del mercado en videos
659800	663800	que es la empresa de logística y aún más grande de Latinoamérica bien día
663800	672800	la parte de fintech, de créditos, bueno cada uno de esos representan dominios o jerarquías de dominios dentro de la organización
672800	678800	y hoy en día son autónomos manejando sus propios microservicios, sus propias aplicaciones
678800	681800	en lo que sería ese plano que vemos al lado izquierdo
681800	687800	el lado derecho también esos dominios han ido generando autonomía
687800	691800	que tienen sus propios equipos de datos, ¿no?
691800	699800	pero qué sucede, en el medio todavía está manejado por un equipo central de datos
699800	703800	ese equipo que toma esos datos y lo lleva hasta el plano analítico
703800	710800	lo que coloquialmente se conoce como ETL, data engineer, se lo llamo últimamente
712800	715800	era manejado por un equipo monolítico
716800	718800	si vamos a la siguiente
721800	725800	ahora esta extracción que veíamos ante la realidad es un poquitito más
726800	732800	cercano a la realidad en lo que vemos en esta, ¿no?
732800	735800	a medida que crece el negocio y que crecen las necesidades
735800	740800	sobre todo en una empresa como Mercado Libre que es muy cambiante y todo el tiempo los modelos no son muy estables
740800	745800	todo el tiempo necesitamos medir nuevos productos, medir cosas nuevas que van cambiando
746800	752800	y a medida que crecen la cantidad como fue creciendo la cantidad exponencialmente de gente en Mercado Libre
752800	754800	de usuarios que necesitan acceso a información
754800	759800	ese equipo del medio que les contaba monolítico también creció exponencialmente
761800	764800	y eso hace que no escale, ¿no?
764800	770800	en dos años pasamos de tener un equipo central de data engineer de 6, 7 personas a 35
770800	773800	y hoy somos casi 50
774800	781800	no escala y por otro lado, si se fijan a la derecha también van a ver como esas marcas de ETL
781800	783800	¿Qué sucede?
783800	788800	Hay gente que así como está el dato en ese leico, en ese warehouse
788800	792800	tampoco le termina sirviendo del todo, entonces como le decía
792800	796800	hay equipos con skills de datos
796800	799800	que también hacen sus propios ETLs, ¿no?
799800	806800	pero ¿qué sucede? esos ETLs que hacen y esos productos de datos resultantes, esos ETLs
806800	809800	no se hacen de manera bastante informal, ¿no?
809800	812800	se hacen en algunos espacios llamados sandbox
813800	818800	sin las garantías necesarias, sin procesos de vacab, sin un catalogado
818800	823800	es decir, totalmente informal y cada uno manejando el lenguaje que le parece
825800	829800	entonces ahí es donde viene este concepto de mesh
830800	836800	a intentar distribuir estos cuello de botella, estos equipos monolíticos
836800	840800	y pereespecializados que están en el medio de estos dos planos, ¿no?
840800	843800	porque como habíamos dicho, a la izquierda tenemos dominios
843800	846800	por ejemplo, no sé, mercado crédito, ¿no?
846800	849800	y mercado crédito maneja sus aplicaciones en la izquierda
849800	855800	y mercado crédito tiene su equipo de la explotación de datos del lado derecho
855800	860800	pero tiene que pasar por ese embudo, por ese equipo monolítico
860800	864800	y ser priorizados en ese equipo monolítico del medio
864800	869800	entonces lo que viene a plantear data mesh es una arquitectura de datos distribuida
869800	875800	en la que también este dominio por ejemplo de credits
875800	878800	pueda manejar un equipo de data engineering
878800	881800	y pueda disponibilizar datos a toda la organización, ¿no?
881800	883800	si vemos la imagen siguiente
886800	890800	esto demuestra un poco a nivel gráfico de qué se trata
890800	894800	si se fijan ahí, están debajo los dos planos que viníamos hablando
894800	896800	de la operación alienalítica
896800	900800	y ya están unidos en esos diagramitas
900800	903800	que representan a un dominio de la organización, ¿no?
903800	905800	que puede ser mercado crédito
905800	909800	cualquier parte de fintech o de envíos
909800	911800	marketing
911800	914800	en cada organización van a ser realidades distintas, ¿no?
914800	917800	pero para que esto no los convierta
917800	920800	no volvamos muchísimos años atrás, ¿no?
920800	921800	a paradigmas anteriores
921800	926800	y en los que esto no se convierta en data martes en silos
926800	929800	la idea de esto es que puedan publicar
929800	932800	productos de datos en un mismo ecosistema
932800	934800	que esto esté unificado
934800	937800	de ahí viene la palabra data mesh, ¿no?
937800	939800	esa malla de datos
939800	943800	en los que cada uno de ellos va a representar un nodo
943800	945800	entonces para eso, para qué eso ocurra
945800	948800	necesitamos también tener políticas
948800	951800	necesitamos tener un gobierno federado
951800	953800	y algunos aspectos más
953800	955800	que los podemos ver en la siguiente
955800	958800	que hablan de
958800	960800	siguiendo por la teoría, ¿no?
960800	963800	los cuatro principios que plantea data mesh
963800	966800	el primero es una arquitectura
966800	968800	lo que se llama domain driven, ¿no?
968800	971800	es decir, basada en estos dominios
971800	974800	diseñado todo en base a estos dominios de la organización
974800	978800	la segunda es pensar los datos como un producto
978800	980800	y no como un subproducto, ¿no?
980800	983800	es decir, que el dato sea
983800	985800	un producto que ofrezcamos
985800	987800	y que hagamos
987800	990800	apliquemos ese famoso product thinking, ¿no?
990800	993800	y que otros dominios de la organización
993800	997800	o cualquier empleado de mercado libre
997800	999800	que necesita acceder a los datos
999800	1001800	lo tratemos como a un cliente
1001800	1003800	entonces para eso
1003800	1006800	necesitamos que ese producto de datos
