start	end	text
0	8000	Bueno, continuando, entonces,
8000	12000	con lo programado, tenemos la
12000	16000	presentación de Panamerican,
16000	19000	la presentación va a ser realizada
19000	22000	por Martín Ruiz, quien ya conocemos
22000	25000	del año pasado, estado con nosotros,
25000	29000	y Diego Zobro, el título de la
29000	32000	presentación de Panamerican,
32000	35000	con modelos basados en árboles.
35000	38000	Bueno, ¿están listos, Diego?
38000	40000	Sí, estamos listos.
40000	41000	Perfecto.
41000	43000	¿A Martín?
43000	47000	Martín se estaba uniendo.
47000	52000	Bueno, comparto.
52000	58000	Ok.
58000	61000	Muchas gracias por la invitación.
61000	67000	Vamos a estar hablando de
67000	69000	predicción de ventas en estaciones de
69000	71000	servicio como modelos basados en árboles.
71000	73000	Vamos de una clasión, vamos a
73000	75000	predecir cuánto va a vender una estación
75000	76000	que todavía no existe.
76000	79000	Esa es lo que tiene interesante.
79000	82000	Y comenzamos, hablando un poco
82000	84000	de otra acción de la colación,
84000	86000	una viñeta clásica que nos muestra
86000	88000	alguien que está buscando su
88000	91000	billetera abajo de un farol
91000	93000	y se le acerca a un policía y le
93000	95000	pregunta si es ahí donde le había
95000	97000	perdido, le dice no, la perdí en el
97000	99000	parque, pero acá es donde hay luz.
99000	101000	Esta viñeta es clásica, hay
101000	103000	muchos variantes, con llaves,
103000	106000	con billeteras, con monedas,
106000	109000	y nos permite pasar una analogía
109000	112000	en general con lo que es la
112000	114000	ciencia de datos, el data mining,
114000	116000	que en general los problemas
116000	119000	están en el parque a tres o cuatro
119000	121000	cuadras de donde está el farol,
121000	123000	y generalmente tratamos de resolverlo
123000	125000	con los datos que es justamente los
125000	126000	que están debajo del farol.
126000	128000	Y lo que vamos a contar hoy es
128000	130000	cómo resolvimos un caso yendo
130000	132000	a buscar el problema al parque.
135000	137000	Básicamente el problema de negocio
137000	139000	que queríamos resolver era
139000	142000	evaluar la inversión en términos
142000	144000	económicos de construir una nueva
144000	146000	estación de servicio. Básicamente
146000	148000	para hacer una evaluación económica
148000	150000	y financiera de la construcción de
150000	152000	una nueva estación de servicio, lo
152000	154000	primero que hay que construir es un
154000	156000	cashflow, y sobre ese cashflow se
156000	158000	les van a aplicar algunos indicadores
158000	160000	financieros, sobre ese cashflow se van
160000	162000	a aplicar unos algoritmos que nos van
162000	164000	a permitir obtener un valor actual
164000	166000	neto, un valor presente neto,
166000	168000	y una tasa interna de retorno.
168000	170000	Pero básicamente esos son algoritmos,
170000	172000	lo primero que hay que hacer es
172000	174000	construir un cashflow.
174000	176000	Y para construir bien un cashflow
176000	178000	necesitamos básicamente tres
178000	180000	componentes, las inversiones,
180000	182000	los costos operativos y la
182000	184000	facturación.
184000	186000	Tenemos clarísimo cuánto
186000	188000	cuesta hacer una estación de servicio.
188000	190000	Si le pasamos a nuestro departamento
190000	192000	de ingeniería, cómo va a hacer el
192000	194000	diseño, y todos los detalles nos
194000	196000	dicen exactamente cuánto va a costar
196000	198000	ese es un valor que no tiene ninguna
198000	200000	necesidad.
200000	202000	Y para saber cuál es la facturación
202000	204000	necesitamos dos valores.
204000	206000	El precio de venta y el volumen
206000	208000	de venta.
208000	210000	El precio de venta en línea general
210000	212000	y en particular en el mercado argentino
212000	214000	es un valor que es muy estable
214000	216000	en dólares, si miramos el precio
216000	218000	en los últimos 10 o 15 años en dólares
218000	220000	ha estado terriblemente
220000	222000	estable cerca de entre los 90
222000	224000	centavos y un dólar por litro.
224000	226000	El gran problema es
226000	228000	determinar cuál
228000	230000	va a ser el volumen de ventas.
230000	232000	Entonces el problema
232000	234000	que tenemos se transforma justamente
234000	236000	en estimar el volumen de ventas de esa
236000	238000	estación que todavía no existe.
238000	240000	¿Cómo hacemos tradicionalmente?
240000	242000	¿Cómo hizo la industria tradicionalmente
242000	244000	para hacer esto? Básicamente
244000	246000	usando dos tipos de modelos
246000	248000	y en algunos casos combinándolos.
248000	250000	Tenemos modelos
250000	252000	para lo que llamo áreas urbanas
252000	254000	compactas, lo que puede ser
254000	256000	el tejido urbano
256000	258000	de una ciudad
258000	260000	relativamente chica, 50.000, 100.000 habitantes
260000	262000	que se basa en
262000	264000	lo que llamamos trade áreas.
264000	266000	Tenemos
266000	268000	modelos para
268000	270000	estaciones que están en rutas en autopistas
270000	272000	que están basados en lo que llamamos tasas de captura.
272000	274000	Esto es
274000	276000	qué porcentaje de los vehículos que pasan por delante
276000	278000	de la estación van a entrar y realmente
278000	280000	cargará ahí. Y donde
280000	282000	en los casos de áreas urbanas extensas
282000	284000	que pueden ser una gran metrópolis
284000	286000	como el área metropolitana de Buenos Aires,
286000	288000	se suele combinar el trade area
288000	290000	con las tasas de captura.
290000	292000	Básicamente
292000	294000	el trade area
294000	296000	se basa en definir
296000	298000	para una región
298000	300000	los distintos segmentos
300000	302000	de esa región
302000	304000	que no compiten entre sí
304000	306000	analizar cuáles son las estaciones que están ahí
306000	308000	existentes, cuánto venden
308000	310000	y cómo se puede repartir ese volumen.
310000	312000	Para lo que son las tasas de captura
312000	314000	básicamente es analizar el tránsito
314000	316000	o descomponer ese tránsito
316000	318000	en las componentes
318000	320000	de tendencia, de estacionalidad
320000	322000	y aleatoria
322000	324000	y a partir de cómo va a evolucionar el futuro
324000	326000	estimar cuánto podríamos llegar a capturar
326000	328000	con nuestra estación.
328000	330000	¿Qué problemas
330000	332000	han tenido o tienen siguen teniendo
332000	334000	estos métodos tradicionales de estimación?
334000	336000	El trade area es básicamente
336000	338000	que si bien conocemos
338000	340000	las estaciones existen
340000	342000	y cuánto venden
342000	344000	no solamente es la ubicación
344000	346000	y el tamaño de la estación
346000	348000	lo que importa, sino también las instalaciones
348000	350000	la operación
350000	352000	el tráfico que circula por ese lugar
354000	356000	y eso hace que
356000	358000	sea relativamente fácil construir
358000	360000	una matriz donde
360000	362000	podemos
362000	364000	ubicar la fortaleza
364000	366000	de la ubicación
366000	368000	y la fortaleza del site
368000	370000	de las instalaciones
370000	372000	y establecer un rango
372000	374000	que es una buena posición
374000	376000	y que es una buena instalación
376000	378000	este tipo de métodos
378000	380000	funciona muy bien en los extremos
380000	382000	es decir, cuando una estación está muy bien ubicada
382000	384000	y tiene muy buenas instalaciones
384000	386000	queda bien evaluada
386000	388000	cuando una estación está muy mal ubicada
388000	390000	y tiene muy malas instalaciones queda muy mal evaluada
390000	392000	y nos quedan como los extremos de una distribución normal
392000	394000	y en esos casos generalmente
