start,end,text,politico
0.0,2.0, Estamos con Horacio Ro... ¿Qué hace eso Horacio?,larreta
2.0,3.0," Horacio, las por...",larreta
3.0,4.0, ¿Cómo están? Bien,larreta
4.0,5.0," Viste Luis, subiste",larreta
5.0,7.0," Bien, está bien, te ves el micrófono por el de los abrigulos",larreta
7.0,8.0," Sí, perfecto, sí, ahí está",larreta
8.0,10.0," Así hablan los micrófones, ¿cómo es la Horacio?",larreta
10.0,13.0," Bien, bien, trabajando mucho, pero bien, intenso",larreta
13.0,15.0," Te veo de acá para allá, tengo...",larreta
15.0,16.0, Sí,larreta
16.0,19.0," Menos más que bien, eso sabía que venía, ayer dije que iba a estar acá",larreta
19.0,21.0," Sí, yo cumplo, va bien",larreta
21.0,23.0," Sí, está muy bien, me parece barro, mi hijo",larreta
23.0,27.0," Esta mañana anunciamos, viste, que sacamos el impuesto a las tarjetas de crédito",larreta
27.0,29.0, Lo eliminamos totalmente,larreta
29.0,33.0, Yo había dicho que cuando la corte nos devolviese los fondos,larreta
33.0,35.0, que nos acuerdan a los años,larreta
35.0,39.0," En realidad está el fallo, el fallo favorable, el mediciambre",larreta
39.0,41.0," El gobierno no lo cumple, por eso",larreta
41.0,43.0, Evidentemente dejé pasar la feria judicial de enero,larreta
43.0,45.0, Nos tomamos un mes prudencial de tiempo,larreta
45.0,49.0, El otro día el presidente en el Congreso confirmó,larreta
49.0,52.0, contundentemente que no iba a acatar el fallo,larreta
52.0,54.0," Con lo cual dije, nos esperamos más",larreta
54.0,58.0," Y hoy anunciamos que mañana mismo, si se puede",larreta
58.0,60.0, vamos a tratar en la legislatura de la ciudad,larreta
60.0,62.0, la eliminación del impuesto a las tarjetas de crédito,larreta
62.0,64.0, Yo me comprometía de esos hace dos años,larreta
64.0,65.0, y lo cumplo,larreta
65.0,67.0, Estamos viviendo una anarquía,larreta
67.0,69.0, porque el presidente hace lo que quiere,larreta
69.0,71.0, en Rosario se hace lo que quiere,larreta
71.0,74.0, Aníbal Fernández hace lo que quiere,larreta
74.0,76.0, Los piqueteros hacen lo que quieren,larreta
76.0,78.0," Yo te voy a preguntar, ¿no?",larreta
78.0,79.0, Hacerlo dije al aire,larreta
79.0,81.0, Pero si viene el gracias le voy a decir,larreta
81.0,82.0, Sí,larreta
82.0,84.0, Se candidativa presente y la gente dice,larreta
84.0,87.0, no pudo sacar los piqueteros durante ocho años,larreta
87.0,89.0, Ahora como sea presidente los va a poder sacar,larreta
89.0,91.0, y por qué no se hizo ocho años antes,larreta
91.0,94.0," Te lo aclaro, bien fácil",larreta
94.0,96.0," A ver, nosotros tenemos manifestaciones",larreta
96.0,98.0, en la ciudad de Buenos Aires,larreta
98.0,100.0, como en ninguna otra ciudad,larreta
100.0,101.0, No se vio en ninguna,larreta
101.0,102.0, ¿Por qué?,larreta
102.0,105.0, Porque vos tenés organizaciones sociales,larreta
105.0,106.0, que realmente son políticos,larreta
106.0,108.0, que manejan los planes sociales,larreta
108.0,110.0, que deciden a quien le da y a quien no,larreta
110.0,111.0, y con ese poder,larreta
111.0,114.0, extorcionan a la gente para que vayan los marchos,larreta
114.0,116.0, Por eso tienen tanto por demobilización,larreta
116.0,118.0, que no va la marcha corta el plan,larreta
118.0,120.0, Pero esas manifestaciones también se las dostan,larreta
120.0,124.0, de gobierno de cambio,larreta
124.0,125.0," Sí, sí",larreta
125.0,126.0," Por supuesto, es así",larreta
126.0,127.0, ¿Sabe cómo se corta eso?,larreta
127.0,128.0, No,larreta
128.0,129.0," El primer día, 10 de diciembre",larreta
129.0,130.0, el próximo gobierno,larreta
130.0,133.0, le sacás la intermediación,larreta
133.0,135.0, y el poder a las organizaciones sociales,larreta
135.0,137.0, y si alguien necesita un apoyo del Estado,larreta
137.0,138.0, lo da el Estado,larreta
138.0,139.0, Poso consciente,larreta
139.0,140.0, Entonces con eso,larreta
140.0,142.0, no van a movilizar la cantidad de gente,larreta
142.0,143.0, que movilizan,larreta
143.0,145.0," iran un día, dos días, tres días",larreta
145.0,147.0, después la gente se va a dar cuenta,larreta
147.0,149.0, que si no va a la manifestación,larreta
149.0,151.0, no deja de cobrar el plan,larreta
151.0,153.0, Pero por qué no se hizo antes?,larreta
153.0,155.0," Bueno, a ver",larreta
155.0,156.0, No se hizo en el gobierno,larreta
156.0,158.0," No, yo te lo pregunto como la caz",larreta
158.0,159.0," Están ley, sí, bien claro",larreta
159.0,160.0, Están ley dio el primer paso,larreta
160.0,161.0," Antes, ¿sabés cómo era?",larreta
161.0,163.0," La plata, la guita",larreta
163.0,165.0, se la daban a la organización social,larreta
165.0,166.0, y la organización la distribuía,larreta
166.0,168.0, Eso era peor todavía,larreta
168.0,169.0, Están ley,larreta
169.0,171.0, hizo un primer paso muy importante,larreta
171.0,172.0, que le sacó la plata,larreta
172.0,173.0, le sacó la guita,larreta
173.0,175.0," O sea, la transfiere directamente",larreta
175.0,177.0, a las cuentas de cada uno,larreta
177.0,179.0, Eso fue un paso enorme,larreta
179.0,181.0," Es cierto, no sé si llegó a dar",larreta
181.0,182.0, el segundo paso,larreta
182.0,183.0, Pero el primer paso se dio,larreta
183.0,185.0, que sacarle el manejo de la plata,larreta
185.0,186.0, Hay miles de cuentas,larreta
186.0,188.0, que la que quiere ser vicepresidenta,larreta
188.0,189.0, ahora de Alberto,larreta
189.0,190.0, como es que se habla de los zapaz,larreta
190.0,191.0, con los zapaz,larreta
191.0,193.0, no declaró son truchas,larreta
193.0,194.0," Bueno, está bien",larreta
194.0,195.0, Pero por lo menos la plata,larreta
195.0,196.0, es validicto a la cuenta de cada uno de ellos,larreta
196.0,197.0," No, pero hay muchas guitas del Estado",larreta
197.0,199.0, que se siga nadie,larreta
199.0,201.0," Por supuesto, después hay que auditarlo",larreta
201.0,203.0," Entonces, están y dio el primer paso",larreta
203.0,205.0, El segundo paso que hay que dar ahora,larreta
205.0,206.0, que yo lo voy a dar,larreta
206.0,207.0, si la gente me elige,larreta
207.0,208.0, el 10 de diciembre,larreta
208.0,210.0, sacás del medio de las organizaciones,larreta
210.0,211.0, El 10 o el 11,larreta
211.0,212.0, El 10,larreta
212.0,213.0," Bueno, tenemos 11",larreta
213.0,214.0, El 10,larreta
214.0,215.0, El 10,larreta
215.0,216.0," Te debo el 10, no hay más 11",larreta
216.0,217.0," Pero yo lo dije, papi",larreta
217.0,218.0, a mí me preguntan a veces,larreta
218.0,219.0, ¿Qué harías en los primeros 100 días?,larreta
219.0,220.0, Y yo me contesto,larreta
220.0,221.0, No hay 100 días,larreta
221.0,222.0, 100 horas,larreta
222.0,223.0, 100 horas,larreta
223.0,224.0," Bueno, entonces",larreta
224.0,225.0, sacás la intermediación,larreta
225.0,227.0, y con eso la capacidad,larreta
227.0,229.0, de llevar la gente a la manifestación,larreta
229.0,230.0, se pincha,larreta
230.0,231.0, en toda la ciudad del mundo,larreta
231.0,233.0, Hay manifestaciones cada tanto,larreta
233.0,235.0, Lo que no hay es con la frecuencia,larreta
235.0,236.0, que tenemos acá,larreta
236.0,238.0, Yo la vi en la vina espania,larreta
