start,end,text
0.0,7.2, Muy buenos días a todos y a todas.
7.28,16.240000000000002," Quiero antes de dejar nuestro mensaje para la cobiart,"
16.32,21.36," para los productores, hacer dos saludos que me parecen"
21.44,23.52, muy importantes.
23.52,33.68," Primero a José por su enorme trabajo a lo largo de estos años,"
33.76,39.12," espero que siga más allá del rol, y a Mario obviamente,"
39.2,44.760000000000005," porque tiene una enorme responsabilidad que recién arranca,"
44.84,50.08," pero seguramente la va a continuar, la va a mejorar,"
50.08,54.48," y las herramientas que podamos poner para eso,"
54.56,56.519999999999996, obviamente cuenta con ellas.
56.6,60.12," En segundo lugar, saludar a cobiart,"
60.2,65.96," por lo que representa desde el punto de vista político-institucional,"
66.03999999999999,71.52," este desayuno, el símbolo de Mendoza con todos sus exgobernadores"
71.6,76.52," sentados acompañando sin distinción político-electoral,"
76.52,81.47999999999999, de alguna manera refleja la idea de la convivencia a legisladores
81.56,84.28," de unas y otras fuerzas políticas,"
84.36,89.67999999999999, y me parece que es parte de la enorme tarea que tenemos
89.75999999999999,94.19999999999999, los argentinos para los próximos años.
94.28,100.12, Pero más allá de los mensajes llegó a una bendimia
100.19999999999999,103.64," que obviamente siempre va a ser una fiesta,"
103.68,107.24," porque es unión, porque es esperanza,"
107.32000000000001,110.96000000000001," porque representa el porvenir, pero que está otra vez"
111.04,114.84, opacada por la caída de la producción.
114.92,119.4, Este año esperamos un volumen inferior al 21%
119.48,123.6," con respecto a la temporada pasada,"
123.68,129.16," que además había sido productivamente escasa la temporada pasada,"
129.24,133.12, y además un 34% por debajo del promedio histórico
133.16,135.32," de los últimos 10 años,"
135.4,138.76, para que tengamos dimensión de las dificultades
138.84,143.96, y el problema que enfrenta el sector en los próximos meses.
144.04,148.36," El clima nos está castigando, como bien decía el gobernador de Jujuy,"
148.44,151.4, y además cada vez más frecuentemente.
151.48000000000002,155.28, De alguna manera el ala granízola de calor
155.36,159.28," nos han ido quitando superficie productiva,"
159.36,162.72, pero además nos han ido quitando producciones
162.76,165.0, que habían llevado adelante.
165.08,166.8," En términos de números,"
166.88,172.6, representa casi 2.000 viñedos menos a lo largo y a lo ancho del país.
173.96,179.4, Y claramente el cambio climático es uno de los grandes enemigos
179.48,183.2," que tenemos, por eso firmamos con Cobiart"
183.28,187.2, un acuerdo para financiar la instalación de la red
187.28,189.64," de estaciones meteorológicas,"
189.67999999999998,193.32," para que nos permita con información fehaciente y detallada,"
193.39999999999998,195.51999999999998," no solamente anticiparnos,"
195.6,198.6," sino también trabajar en términos de previsión,"
198.67999999999998,201.72, mediano y largo plazo con los productores.
201.79999999999998,205.27999999999997, La realidad se ocupa de demostrar los que tomar medidas
205.35999999999999,210.56, para tomar sus consecuencias se vuelve cada vez más urgente.
210.64,214.67999999999998, Y el cambio climático nos exige ser proactivos.
214.76,218.2, De no serlo podríamos vaticinar
218.23999999999998,222.11999999999998, la desaparición de miles de productores para los próximos años.
222.2,224.35999999999999," Y creo que en ese sentido,"
224.44,229.88," tal como plantearon varios de quienes me precedieron en el uso de la palabra,"
230.88,235.79999999999998," el desafío que representa la lucha contra el cambio climático,"
235.88,241.2, pero además el desafío que representa la generación de conciencia
241.28,246.04, es una tarea de todos y todas los dirigentes
246.07999999999998,248.32, de las instituciones argentinas.
248.4,253.23999999999998, Estamos convencidos de que el Estado tiene que intervenir a favor
253.32,257.84, de quienes resultan más afectados por las inclemencias climáticas.
257.92,260.71999999999997, En el marco de la ley de emergencia europeuaria
260.8,263.36," se han implementado algunas medidas,"
263.44,266.71999999999997, en algunas provincias con mayor nivel de capilaridad
266.8,269.88, y en otras con mayor nivel de dificultad.
269.96,273.24, Pero hemos tomado la decisión para tratar de que no quede
273.28000000000003,279.92, ningún productor desatendido de ampliar con más de 583 millones de pesos
280.0,284.92," disponibles a partir de la semana que viene en la Secretaría de Agricultura,"
285.64,289.36, que se suman a 50 millones adicionales
289.44,293.56, que ya se habían incorporado en febrero del 23.
294.52,299.68, Quiero dejarles sí algunas de las tareas que nos propusimos
300.68,306.8, con José Algunas y que hoy se concretan.
307.68,313.08, Porque en este 23 vamos a llevar adelante el programa de crédito
313.16,315.04, para cosecha y acarreo.
315.84000000000003,320.24, Vamos aportando fondos para subsidiar en conjunto
320.32,326.2, con la provincia de Mendoza una línea de crédito de 10.000 millones
326.68,331.12, que se suma a la línea que ya venía de los 3.000 millones de la vendidmia
331.2,336.2," pasada, que tiene la particularidad, la conocen los productores,"
336.28,340.36, que es en un pago único a 300 días y que va a llevarse adelante
340.44,343.71999999999997, nuevamente con tasa subsidiada.
343.8,348.64," Así como la línea bice, que de alguna manera desde el Banco Nación"
348.71999999999997,354.0, viene otorgando esos créditos a tasa subsidiada y que nos permite
354.08,360.04, avanzar con créditos a 30 meses con 18 meses de gracia
360.12,365.2, para todos los productores que fueron víctimas de Lelada o del Granizo
365.28,368.76, porque entendemos que de alguna manera tienen que volver a recomponer
368.84,373.76, su capital de trabajo para empezar a poder pagar el crédito que tomaron.
374.16,377.72, Creemos además importante seguir con la asistencia a los municipios.
377.8,383.28, Llevamos 540 millones entregados a 12 municipios para asistencia directa
383.4,387.88," a los productores, a lo que se suma tal como viéramos acá,"
387.96,392.55999999999995, el anuncio de la Secretaría del Ministerio de Desarrollo Social
392.64,396.52, de aportes no remolzables directamente con los municipios
396.59999999999997,400.52, a los productores que no llegaron con la asistencia y que de alguna
400.59999999999997,405.23999999999995, manera tienen el desafío de acompañar el trabajo estructural
405.32,408.64, de largo plazo que también tenemos que encarar.
408.71999999999997,412.32," En ese sentido, nos acompaña el ex ministro de Agricultura,"
412.36,415.88," Julián Domínguez y obviamente el secretario de Agricultura,"
415.96,417.48, Juan Jovailo.
417.84,422.76, El año pasado nos habíamos comprometido tal como se habló
422.84,430.4, de la puesta en marcha del Proviar II y del crédito que Argentina
430.48,433.6, iba a tomar y de la aporte adicional que el Estado Federal
433.68,436.36, iba a hacer a ese crédito.
436.44,440.8," Y quiero dejarte, Mario, como primera herramienta de trabajo"
440.88,444.56," el decreto que el lunes va a estar publicado, que ya está firmado,"
444.64,447.96000000000004, que habilita el préstamo de 40 millones de dólares el aporte
448.04,452.48, del Estado Nacional de 10 millones de dólares para la puesta en marcha
452.56,457.04," del Proviar II, que es una enorme tarea para seguir multiplicando"
457.12,461.08000000000004, el trabajo del Estado y los productores juntos.
463.12,469.04, Creo además importante dejar algunos conceptos vinculados
469.12,474.16," al enotudismo, por la inversión que lleva adelante la Secretaría"
474.24,478.8," de Turismo, pero sobre todas las cosas por lo que representa"
478.88,484.8, para esta y otras provincias la cultura o la ruta del turismo
484.88,486.64000000000004, alrededor del vino.
486.72,493.56, Y también el compromiso ratificado de volver a participar
493.64000000000004,498.12, con la misma fuerza que lo hacemos todos los años en el programa
498.12,502.0," nacional de prevención y erradicación de la lobecia otrana,"
502.08,506.44, la polilla que tienen los productores de la vitimini cultura
506.52,510.52, que necesita de aporte y de respaldo del Estado Nacional
510.6,513.16, acompañando a cada una de las provincias.
513.24,518.28, Quiero además dejarle a los productores algunos datos
518.36,524.32, que son centrales para los próximos meses en lo que tiene que ver
524.32,528.9200000000001, con ese deseo de desarrollo de las infraestructuras.
529.0,532.88," Primero porque estamos poniendo en marcha,"
