Oraciones,Emotions
 gustado competir con macri te perdiste una oportunidad con,Negativo
 volvió a su provincia de origen.,Negativo
 para hacer una gran campaña.,Muy positivo
 Usted está haciendo punta en lo que es su intención,Positivo
 como es eso de que trabajas cuánto es bueno malo trabajar tanto,Negativo
" con las divisiones en la Argentina,",Positivo
 hasta alcanzar en esta etapa,Positivo
 por eso es necesario,Positivo
 Pero el resto,Neutral
 experiencia en el gobierno también,Positivo
 discutir sobre cada tema en detalle como,Positivo
 gente de la gente no da más te cuenta,Muy negativo
 Es la única manera de trabajar en equipo.,Positivo
" Quiero un país en el que se vuelve a producir,",Positivo
 las muertes en la calle,Muy negativo
" Vamos a crear, tomando los mejores hombres y mujeres de las fuerzas,",Positivo
 Ya tuvimos mucho de eso y miren dónde estamos.,Muy negativo
 todo ese tema no fue así te contesto te contigo ningún,Muy negativo
" Pero definitivamente, porque la industria del juicio,",Positivo
 No me consta.,Negativo
 Llegamos a dejar de invitar amigos a nuestras casas.,Negativo
" Los datos son públicos, tenemos un mapa del delito",Negativo
 o sectoriales.,Positivo
" Ahí me clavaste, me ametraseaste cuatro atracciones.",Muy negativo
 Impulsamos iniciativas como aprendí programando y codo a codo.,Positivo
" para escuchar, para aprender,",Positivo
 mi decisión de ser candidato no depende,Neutral
 ¿te bajas o estarías luchándole una interna,Negativo
 lógica cuando uno mira la política,Negativo
" con el correo de los meses,",Positivo
 otro y se y te agrede que voy a cambiar mi convicción porque,Muy negativo
 distinto cuando tenés que actuar.,Negativo
 libira que nos va a hablar de la,Positivo
 Resume muy rápido.,Muy positivo
" Entonces, hay que importar para poder producir más.",Negativo
 Se candidativa presente y la gente dice,Positivo
 Tenemos que ir camino a las elecciones,Positivo
 no vamos ni para atrás ni para adelante.,Negativo
 son los protagonistas del cambio de la transformación,Positivo
 la seguridad,Positivo
 todos te lo mandan de otras provincias,Muy negativo
 corte y enseguida volvemos con pancho,Positivo
" el país, básicamente, los fines de semana",Neutral
" no depende de eso, no depende de...",Neutral
